customer_rank,customer,country,revenue,share_pct,cumulative_pct
1,Helena Holý,Czech Republic,49.62,2.13,2.13
2,Richard Cunningham,USA,47.62,2.05,4.18
3,Luis Rojas,Chile,46.62,2.0,6.18
4,Ladislav Kovács,Hungary,45.62,1.96,8.14
5,Hugh O'Reilly,Ireland,45.62,1.96,10.1
6,Frank Ralston,USA,43.62,1.87,11.97
7,Julia Barnett,USA,43.62,1.87,13.84
8,Fynn Zimmermann,Germany,43.62,1.87,15.72
9,Astrid Gruber,Austria,42.62,1.83,17.55
10,Victor Stevens,USA,42.62,1.83,19.38
11,Terhi Hämäläinen,Finland,41.62,1.79,21.16
12,František Wichterlová,Czech Republic,40.62,1.74,22.91
13,Isabelle Mercier,France,40.62,1.74,24.65
14,Johannes Van der Berg,Netherlands,40.62,1.74,26.4
15,Luís Gonçalves,Brazil,39.62,1.7,28.1
16,François Tremblay,Canada,39.62,1.7,29.8
17,Bjørn Hansen,Norway,39.62,1.7,31.5
18,Jack Smith,USA,39.62,1.7,33.2
19,Dan Miller,USA,39.62,1.7,34.9
20,Heather Leacock,USA,39.62,1.7,36.61
21,João Fernandes,Portugal,39.62,1.7,38.31
22,Wyatt Girard,France,39.62,1.7,40.01
23,Jennifer Peterson,Canada,38.62,1.66,41.67
24,Tim Goyer,USA,38.62,1.66,43.33
25,Camille Bernard,France,38.62,1.66,44.98
26,Dominique Lefebvre,France,38.62,1.66,46.64
27,Joakim Johansson,Sweden,38.62,1.66,48.3
28,Manoj Pareek,India,38.62,1.66,49.96
29,Leonie Köhler,Germany,37.62,1.62,51.58
30,Daan Peeters,Belgium,37.62,1.62,53.19
31,Kara Nielsen,Denmark,37.62,1.62,54.81
32,Eduardo Martins,Brazil,37.62,1.62,56.42
33,Alexandre Rocha,Brazil,37.62,1.62,58.04
34,Roberto Almeida,Brazil,37.62,1.62,59.65
35,Fernanda Ramos,Brazil,37.62,1.62,61.27
36,Mark Philips,Canada,37.62,1.62,62.88
37,Frank Harris,USA,37.62,1.62,64.5
38,Michelle Brooks,USA,37.62,1.62,66.12
39,Kathy Chase,USA,37.62,1.62,67.73
40,John Gordon,USA,37.62,1.62,69.35
41,Patrick Gray,USA,37.62,1.62,70.96
42,Robert Brown,Canada,37.62,1.62,72.58
43,Edward Francis,Canada,37.62,1.62,74.19
44,Martha Silk,Canada,37.62,1.62,75.81
45,Aaron Mitchell,Canada,37.62,1.62,77.42
46,Ellie Sullivan,Canada,37.62,1.62,79.04
47,Madalena Sampaio,Portugal,37.62,1.62,80.66
48,Hannah Schneider,Germany,37.62,1.62,82.27
49,Niklas Schröder,Germany,37.62,1.62,83.89
50,Marc Dubois,France,37.62,1.62,85.5
51,Lucas Mancini,Italy,37.62,1.62,87.12
52,Stanisław Wójcik,Poland,37.62,1.62,88.73
53,Enrique Muñoz,Spain,37.62,1.62,90.35
54,Emma Jones,United Kingdom,37.62,1.62,91.96
55,Phil Hughes,United Kingdom,37.62,1.62,93.58
56,Steve Murray,United Kingdom,37.62,1.62,95.2
57,Mark Taylor,Australia,37.62,1.62,96.81
58,Diego Gutiérrez,Argentina,37.62,1.62,98.43
59,Puja Srivastava,India,36.64,1.57,100.0
